product_id,category,sub_category
OFF-PA-10000174,Third Party,Paper
OFF-BI-10004094,Third Party,Binders
OFF-LA-10003223,Third Party,Labels
OFF-ST-10002743,Third Party,Storage
OFF-AR-10003478,Third Party,Art
FUR-CH-10004063,Direct Sale,Chairs
OFF-AR-10001662,Other,Art
OFF-AR-10002399,Other,Art
OFF-BI-10004632,Other,Binders
OFF-FA-10001883,Other,Fasteners
OFF-PA-10000955,Other,Paper
OFF-PA-10002005,Third Party,Paper
TEC-PH-10004539,Pre Book,Phones
TEC-PH-10004977,Pre Book,Phones
FUR-FU-10004864,Direct Sale,Furnishings
OFF-BI-10003708,Third Party,Binders
OFF-AR-10004078,Third Party,Art
TEC-AC-10001266,Pre Book,Accessories
FUR-FU-10000965,Direct Sale,Furnishings
OFF-LA-10004272,Third Party,Labels
FUR-FU-10000010,Direct Sale,Furnishings
FUR-BO-10003034,Direct Sale,Bookcases
FUR-CH-10000422,Direct Sale,Chairs
OFF-AR-10003514,Third Party,Art
OFF-BI-10003476,Third Party,Binders
OFF-BI-10004187,Third Party,Binders
OFF-EN-10001532,Third Party,Envelopes
OFF-EN-10001990,Third Party,Envelopes
OFF-PA-10002947,Third Party,Paper
OFF-ST-10000025,Third Party,Storage
OFF-ST-10000078,Third Party,Storage
TEC-AC-10003174,Pre Book,Accessories
FUR-BO-10003433,Direct Sale,Bookcases
TEC-AC-10003628,Pre Book,Accessories
FUR-FU-10001095,Direct Sale,Furnishings
OFF-BI-10001575,Third Party,Binders
OFF-LA-10001074,Third Party,Labels
TEC-PH-10004614,Pre Book,Phones
OFF-AP-10000692,Third Party,Appliances
FUR-BO-10001972,Direct Sale,Bookcases
OFF-BI-10003676,Third Party,Binders
OFF-EN-10002504,Third Party,Envelopes
OFF-PA-10000659,Third Party,Paper
FUR-CH-10002331,Other,Chairs
FUR-FU-10002268,Other,Furnishings
FUR-FU-10002918,Other,Furnishings
FUR-FU-10003194,Other,Furnishings
FUR-FU-10003194,Other,Furnishings
OFF-AP-10002311,Third Party,Appliances
OFF-AR-10002375,Third Party,Art
OFF-AR-10003811,Third Party,Art
OFF-AR-10004456,Third Party,Art
OFF-BI-10000605,Third Party,Binders
OFF-BI-10003091,Third Party,Binders
OFF-BI-10004364,Third Party,Binders
OFF-EN-10001539,Third Party,Envelopes
OFF-PA-10002893,Third Party,Paper
OFF-ST-10000760,Third Party,Storage
OFF-ST-10003123,Third Party,Storage
TEC-PH-10001061,Pre Book,Phones
FUR-FU-10001889,Direct Sale,Furnishings
FUR-FU-10001025,Direct Sale,Furnishings
FUR-FU-10002445,Direct Sale,Furnishings
FUR-FU-10002960,Direct Sale,Furnishings
OFF-PA-10002689,Third Party,Paper
TEC-PH-10001300,Pre Book,Phones
OFF-FA-10003467,Third Party,Fasteners
OFF-PA-10001804,Third Party,Paper
FUR-BO-10004409,Direct Sale,Bookcases
FUR-FU-10001847,Direct Sale,Furnishings
FUR-FU-10004587,Direct Sale,Furnishings
OFF-BI-10001758,Third Party,Binders
OFF-PA-10000380,Third Party,Paper
OFF-PA-10003072,Third Party,Paper
OFF-ST-10004337,Third Party,Storage
TEC-PH-10002103,Pre Book,Phones
TEC-PH-10004833,Pre Book,Phones
FUR-TA-10003469,Direct Sale,Tables
OFF-AR-10003179,Third Party,Art
OFF-ST-10003692,Third Party,Storage
OFF-BI-10000343,Third Party,Binders
OFF-PA-10001204,Third Party,Paper
OFF-ST-10000991,Third Party,Storage
FUR-BO-10003966,Direct Sale,Bookcases
TEC-AC-10001432,Pre Book,Accessories
OFF-BI-10000666,Third Party,Binders
OFF-FA-10001843,Third Party,Fasteners
TEC-PH-10002890,Pre Book,Phones
OFF-BI-10002827,Third Party,Binders
OFF-BI-10004593,Other,Binders
OFF-BI-10003676,Other,Binders
OFF-BI-10004230,Other,Binders
OFF-PA-10000350,Other,Paper
OFF-BI-10001196,Other,Binders
OFF-LA-10002787,Third Party,Labels
TEC-PH-10001615,Pre Book,Phones
TEC-PH-10003645,Pre Book,Phones
OFF-ST-10001558,Third Party,Storage
TEC-AC-10000710,Pre Book,Accessories
FUR-FU-10002111,Other,Furnishings
FUR-CH-10001146,Other,Chairs
FUR-FU-10002298,Other,Furnishings
FUR-TA-10003715,Other,Tables
OFF-BI-10003291,Other,Binders
OFF-BI-10004654,Third Party,Binders
OFF-BI-10004728,Third Party,Binders
OFF-LA-10004853,Third Party,Labels
OFF-ST-10002583,Third Party,Storage
TEC-AC-10001432,Pre Book,Accessories
FUR-CH-10000225,Direct Sale,Chairs
OFF-AP-10001293,Third Party,Appliances
OFF-PA-10000466,Third Party,Paper
OFF-SU-10000157,Third Party,Supplies
TEC-AC-10000736,Pre Book,Accessories
OFF-BI-10001031,Third Party,Binders
OFF-AP-10001303,Third Party,Appliances
OFF-BI-10002012,Third Party,Binders
OFF-AR-10003631,Third Party,Art
FUR-FU-10002396,Direct Sale,Furnishings
OFF-ST-10000321,Third Party,Storage
FUR-FU-10000221,Direct Sale,Furnishings
OFF-PA-10003363,Third Party,Paper
TEC-AC-10001284,Pre Book,Accessories
